Unnamed: 0,product_name,sales_price,brand,colour,child_category,reviews,product_url,medium,cleaned_reviews,sentiment,predicted_sentiment
7,Pepe Jeans Men's Solid Regular fit Casual Shirt,919,JUST F,Blue1,MensCasualShirts,"Arrived damaged, very unhappy.",https://www.amazon.in/Pepe-Jeans-Regular-Casual-PM305906_Orange_Large/dp/B07P8WKWW1/,https://images-na.ssl-images-amazon.com/images/I/41M7k32XfeL.jpg|https://images-na.ssl-images-amazon.com/images/I/51GihNpO2YL.jpg|https://images-na.ssl-images-amazon.com/images/I/51aHANXIk1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41lbu-cAD-L.jpg|https://images-na.ssl-images-amazon.com/images/I/51qtXu%2Bmx5L.jpg,arrived damaged unhappy,-1,-1
24,Calvin Klein Jeans Men's Plain Slim fit Casual Shirt (40I8055100_Standard White_XL),2749,Calvin Klein Jeans,Grey,MensCasualShirts,"Comfortable and stylish, love it!",https://www.amazon.in/Calvin-Klein-Sleeve-Standard-Classic/dp/B079YZ3BNB/,https://images-na.ssl-images-amazon.com/images/I/512ITR-yX1L.jpg|https://images-na.ssl-images-amazon.com/images/I/31Op-SE3zxL.jpg,comfortable stylish love,1,1
31,Tommy Hilfiger Men's Checkered Regular fit Casual Shirt,2639,Saree World,"Black, Grey Milanch",MensCasualShirts,"Fits like a glove, very flattering.",https://www.amazon.in/TOMMY-HILFIGER-Checkered-P8AMW190XL_Maritime-Multi_XL/dp/B07HNDVNZD/,https://images-na.ssl-images-amazon.com/images/I/41yL7dukGkL.jpg|https://images-na.ssl-images-amazon.com/images/I/41QY1%2BK-eCL.jpg|https://images-na.ssl-images-amazon.com/images/I/51-PNzJhvVL.jpg|https://images-na.ssl-images-amazon.com/images/I/31zrhYOlHLL.jpg,fit like glove flattering,1,1
52,CAVALLO by Linen Club: Red Checked Casual Linen Shirt for Men,849,CAVALLO by Linen Club,D - Black Peach,MensCasualShirts,Fabric shrinks after washing.,https://www.amazon.in/CAVALLO-Linen-Club-Checked-Sleeve-Regular/dp/B07R7BL7BL/,https://images-na.ssl-images-amazon.com/images/I/41eCuUkcDFL.jpg|https://images-na.ssl-images-amazon.com/images/I/41jn17cxWDL.jpg|https://images-na.ssl-images-amazon.com/images/I/41VViQF3-ML.jpg|https://images-na.ssl-images-amazon.com/images/I/41Z0uVR9zTL.jpg|https://images-na.ssl-images-amazon.com/images/I/51lJTgV7SwL.jpg|https://images-na.ssl-images-amazon.com/images/I/316FUy5uO9L.jpg,fabric shrink washing,0,0
90,Neostreak Men's Slim Fit Stretchable Jeans,589,VISVA DESIGNER,Olive,MensJeans,"Exactly as described, very satisfied.",https://www.amazon.in/Neostreak-Mens-Jeans-neodustjean-Cream_30/dp/B07L6PB9GW/,https://images-na.ssl-images-amazon.com/images/I/31zSO7cJBML.jpg|https://images-na.ssl-images-amazon.com/images/I/31rGykolByL.jpg|https://images-na.ssl-images-amazon.com/images/I/41P2uxljOxL.jpg|https://images-na.ssl-images-amazon.com/images/I/41HenInoB6L.jpg|https://images-na.ssl-images-amazon.com/images/I/41MXwKMFFAL.jpg|https://images-na.ssl-images-amazon.com/images/I/31vIV2v%2BMsL.jpg,exactly described satisfied,1,1
109,Levi's Men's Printed Regular Fit Casual Shirt,1948,Srishti Creations,Neon Color,MensCasualShirts,"Amazing fit, looks great!",https://www.amazon.in/Levis-Printed-Regular-Casual-32873-0028_Blue_L/dp/B078MDPJV3/,https://images-na.ssl-images-amazon.com/images/I/41vOe6BrALL.jpg|https://images-na.ssl-images-amazon.com/images/I/416v1TmfmHL.jpg|https://images-na.ssl-images-amazon.com/images/I/51S%2ByKD-4TL.jpg|https://images-na.ssl-images-amazon.com/images/I/41Dbn5PxdVL.jpg,amazing fit look great,1,1
117,Urban Ranger by Pantaloons Men's Plain Slim Fit Casual Shirt,599,Urban Ranger by Pantaloons,PINK,MensCasualShirts,"Exceeded my expectations, very pleased.",https://www.amazon.in/Urban-Ranger-Pantaloons-110041933015_Sky-Blue_XXL/dp/B07CKXFLWL/,https://images-na.ssl-images-amazon.com/images/I/31gt-J-VpYL.jpg|https://images-na.ssl-images-amazon.com/images/I/31M8%2BALvowL.jpg|https://images-na.ssl-images-amazon.com/images/I/31zSPcjVTXL.jpg|https://images-na.ssl-images-amazon.com/images/I/3100h63I0yL.jpg,exceeded expectation pleased,1,1
134,US Polo Men's Solid Regular Fit Casual Shirt,799,SCALA,Aqua,MensCasualShirts,Soft fabric and vibrant color.,https://www.amazon.in/US-Polo-Regular-Casual-UFSH0372_Aqua_XL/dp/B07DWHF5NM/,https://images-na.ssl-images-amazon.com/images/I/31CJ2jAe0PL.jpg|https://images-na.ssl-images-amazon.com/images/I/31laqJq%2BW8L.jpg|https://images-na.ssl-images-amazon.com/images/I/31c9sncePcL.jpg|https://images-na.ssl-images-amazon.com/images/I/31VQKp5oCPL.jpg,soft fabric vibrant color,1,1
150,M.Weft Men's Trendy Blue Jeans _36,455,M.Weft,Yellow-Blue-Pink-Navy-Melange,MensJeans,"Seams are poorly stitched, very fragile.",https://www.amazon.in/M-Weft-Mens-Trendy-Blue-Jeans/dp/B075WCZKB7/,https://images-na.ssl-images-amazon.com/images/I/512m1fFuaSL.jpg|https://images-na.ssl-images-amazon.com/images/I/51uk8MVBRHL.jpg|https://images-na.ssl-images-amazon.com/images/I/51Y6IjLTFNL.jpg,seam poorly stitched fragile,-1,-1
157,McHenry Mens Pure Cotton Regular Fit Checkered Casual Full Sleeves Shirt,799,McHenry,Brown,MensCasualShirts,Soft fabric and vibrant color.,https://www.amazon.in/McHenry-Regular-Checkered-Sleeves-GGC8425-40_Color-Green_Size/dp/B07X63DLJ2/,https://images-na.ssl-images-amazon.com/images/I/51K8ggE4VFL.jpg|https://images-na.ssl-images-amazon.com/images/I/411hd4EBP1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41%2B07ZjWrPL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hwy9T4bLL.jpg|https://images-na.ssl-images-amazon.com/images/I/51lTVP%2B%2BapL.jpg|https://images-na.ssl-images-amazon.com/images/I/31s6OvbF-YL.jpg|https://images-na.ssl-images-amazon.com/images/I/41wGvHdK7PL.jpg,soft fabric vibrant color,1,1
159,American Noti White Jeans Men | White Denim Jeans for Men | White Cotton Jeans for Men | Jeans for Men Slim fit Stretchable Pure White | Jeans White for Men,596,American Noti,Multi-col,MensJeans,"Exceeded my expectations, very pleased.",https://www.amazon.in/American-Noti-White-Cotton-Stretchable/dp/B074Z7DPQ8/,https://images-na.ssl-images-amazon.com/images/I/41vAEETICuL.jpg|https://images-na.ssl-images-amazon.com/images/I/31GQoAan9OL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ztEdKnsML.jpg|https://images-na.ssl-images-amazon.com/images/I/418zpcEWtEL.jpg|https://images-na.ssl-images-amazon.com/images/I/41e86cNSM2L.jpg,exceeded expectation pleased,1,1
178,Allen Solly Men's Slim fit Casual Shirt,549,BELLE NUITS,Black,MensCasualShirts,Soft fabric and vibrant color.,https://www.amazon.in/Allen-Solly-Casual-ALSF318J003971_Medium-White_44/dp/B07SQFJGLH/,https://images-na.ssl-images-amazon.com/images/I/41mfYmD08yL.jpg|https://images-na.ssl-images-amazon.com/images/I/41tBJ5NkwaL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ea3lFxoCL.jpg|https://images-na.ssl-images-amazon.com/images/I/31cCA6RmzWL.jpg|https://images-na.ssl-images-amazon.com/images/I/51%2BUrk-YASL.jpg,soft fabric vibrant color,1,1
194,Lee Men's Modern Series Relaxed Fit Bootcut Jean,667,Valeo,Macho,MensJeans,"Not satisfied with the purchase, returning it.",https://www.amazon.in/Lee-Modern-Relaxed-Fit-Bootcut-Slade/dp/B07BHKCWKW/,https://images-na.ssl-images-amazon.com/images/I/41OwqIVlGrL.jpg|https://images-na.ssl-images-amazon.com/images/I/41KeKIK2x9L.jpg,satisfied purchase returning,1,1
