Unnamed: 0.1,Unnamed: 0,product_name,sales_price,brand,colour,child_category,reviews,product_url,medium,cleaned_reviews,sentiment,predicted_sentiment
0,0,LA' Facon Cotton Kalamkari Handblock Saree Blouse Fabric 100 cms Black Base Dancers (Cotton),200,LA' Facon,Red,WomensKurtasKurtis,"Love the design, very comfortable.",https://www.amazon.in/Facon-Kalamkari-Handblock-Dancers-Lehenga/dp/B07SWVSRPP/,https://images-na.ssl-images-amazon.com/images/I/51Wj2WownyL.jpg|https://images-na.ssl-images-amazon.com/images/I/51tylkSxAIL.jpg|https://images-na.ssl-images-amazon.com/images/I/51345gshQ9L.jpg,love design comfortable,1,1
1,2,"LOVISTA Cotton Gota Patti Tassel Traditional Printed Kurti with Pant,Angrakha Salwar Suit",660,LOVISTA,Anthra Melange,WomensKurtasKurtis,"Comfortable and stylish, love it!",https://www.amazon.in/LOVISTA-Traditional-Printed-Angrakha-Turquoise/dp/B07WH3SH25/,https://images-na.ssl-images-amazon.com/images/I/31Gd40UmBTL.jpg|https://images-na.ssl-images-amazon.com/images/I/31jiPD9IyQL.jpg|https://images-na.ssl-images-amazon.com/images/I/41GLhLnUCGL.jpg,comfortable stylish love,1,1
2,11,Pinkmint Women's Multi-Coloured Digital Print Crepe Kurti,329,Wevez,Black,WomensKurtasKurtis,Soft fabric and vibrant color.,https://www.amazon.in/Pinkmint-Womens-Multi-Coloured-Digital-Print/dp/B07X42BX1R/,https://images-na.ssl-images-amazon.com/images/I/31ST%2B4OaCJL.jpg|https://images-na.ssl-images-amazon.com/images/I/31e-xe9IxiL.jpg|https://images-na.ssl-images-amazon.com/images/I/417AZ3iCZYL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ha3gySyJL.jpg|https://images-na.ssl-images-amazon.com/images/I/31zHoHLkvXL.jpg,soft fabric vibrant color,1,1
3,15,Pepe Jeans Women's Solid T-Shirt,483,GKLINKS,Black,WomensT_Shirts,"Not satisfied with the purchase, returning it.",https://www.amazon.in/Pepe-Jeans-Womens-T-Shirt-PILK200029_Black_X-Large/dp/B073TZDDWT/,https://images-na.ssl-images-amazon.com/images/I/41GxU7C%2BQML.jpg|https://images-na.ssl-images-amazon.com/images/I/418KOIt4t1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41L87eLLaaL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ilAjMTtfL.jpg|https://images-na.ssl-images-amazon.com/images/I/41fzYYyV7JL.jpg,satisfied purchase returning,1,1
4,16,C9 Women Turquoise Active T-Shirt,599,C9,White,WomensT_Shirts,"Well-made and durable, worth the price.",https://www.amazon.in/C9-Women-Turquoise-Active-T-Shirt/dp/B07MT4DSZ8/,https://images-na.ssl-images-amazon.com/images/I/41sqKtinRHL.jpg|https://images-na.ssl-images-amazon.com/images/I/31ynrYpR34L.jpg|https://images-na.ssl-images-amazon.com/images/I/410ARkdgj7L.jpg|https://images-na.ssl-images-amazon.com/images/I/410ARkdgj7L.jpg|https://images-na.ssl-images-amazon.com/images/I/31o1AKX3QpL.jpg|https://images-na.ssl-images-amazon.com/images/I/51fS8o5kfxL.jpg,wellmade durable worth price,1,1
5,17,PuJoy Women's Soft Cotton Traditional Bengali Handloom Jharna Design Tant Saree with Blouse Piece …,420,PuJoy,Red White,WomensSarees,"Disappointed, poor quality.",https://www.amazon.in/PuJoy-Womens-Traditional-Bengali-Handloom/dp/B07K6PHHHM/,https://images-na.ssl-images-amazon.com/images/I/41xOAqSkkoL.jpg|https://images-na.ssl-images-amazon.com/images/I/41hnDfB-7EL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ipf1Uu9oL.jpg|https://images-na.ssl-images-amazon.com/images/I/41aQr4%2BZs8L.jpg|https://images-na.ssl-images-amazon.com/images/I/412YMu2waLL.jpg|https://images-na.ssl-images-amazon.com/images/I/51gIYHmXIfL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ALL0Q3EtL.jpg|https://images-na.ssl-images-amazon.com/images/I/41ALL0Q3EtL.jpg|https://images-na.ssl-images-amazon.com/images/I/315x%2B-eQTyL.jpg,disappointed poor quality,-1,-1
6,18,Winza Designer Chiffon Saree with Blouse Piece,522,Winza Designer,Green,WomensSarees,"Amazing fit, looks great!",https://www.amazon.in/Winza-Designer-Chiffon-Blouse-NECBLOUSE_YELLOW_2_Yellow_Free/dp/B00X3OIY1C/,https://images-na.ssl-images-amazon.com/images/I/41PUEb5WGuL.jpg|https://images-na.ssl-images-amazon.com/images/I/61VHdMRzyfL.jpg,amazing fit look great,1,1
7,26,TEXCO Pink Side Draw Strings Crop Top,499,TEXCO,Yellow,WomensTops,"Unpleasant odor, had to wash multiple times.",https://www.amazon.in/TEXCO-Mustard-Yellow-Strings-Women/dp/B075T4JV75/,https://images-na.ssl-images-amazon.com/images/I/41USREhME1L.jpg|https://images-na.ssl-images-amazon.com/images/I/41rcIzv2mqL.jpg|https://images-na.ssl-images-amazon.com/images/I/41mw4QRWVIL.jpg|https://images-na.ssl-images-amazon.com/images/I/41kEkUOqt0L.jpg,unpleasant odor wash multiple time,-1,-1
8,34,Rangeelo rajasthan Women's Straight Kurta,379,Rangeelo rajasthan,Black & White,WomensKurtasKurtis,"Design is outdated, not stylish.",https://www.amazon.in/Rangeelo-rajasthan-Womens-Straight-RR092ORANGE_X-Large/dp/B078214RH4/,https://images-na.ssl-images-amazon.com/images/I/41FiRDT8FDL.jpg|https://images-na.ssl-images-amazon.com/images/I/31eQPGZESJL.jpg|https://images-na.ssl-images-amazon.com/images/I/41yoP1oTjjL.jpg|https://images-na.ssl-images-amazon.com/images/I/41S8m-ibm9L.jpg|https://images-na.ssl-images-amazon.com/images/I/41vUHZYnOWL.jpg,design outdated stylish,1,1
9,39,Miss Chase Women's Pink Self Design Bardot Neck Half Sleeved Off Shoulder Ruffled Top,469,Miss Chase,Grey,WomensTops,"Unpleasant odor, had to wash multiple times.",https://www.amazon.in/Miss-Chase-Womens-Pink-Shoulder/dp/B073QR8ZX8/,https://images-na.ssl-images-amazon.com/images/I/41cRiYKt30L.jpg|https://images-na.ssl-images-amazon.com/images/I/31DxuzmI6dL.jpg|https://images-na.ssl-images-amazon.com/images/I/41RszqzPx5L.jpg|https://images-na.ssl-images-amazon.com/images/I/41V%2Bh5KVPPL.jpg|https://images-na.ssl-images-amazon.com/images/I/417PcRzd-wL.jpg|https://images-na.ssl-images-amazon.com/images/I/41V-QFQFGoL.jpg,unpleasant odor wash multiple time,-1,-1
